Longitude,Latitude,Sample No,Cu,Zn,Pb
73.05,24.94,45H01/133/S/16,13,50,25
73.07,24.94,45H01/134/S/16,12,33,28
73.09,24.94,45H01/135/S/16,23,34,22
73.11,24.94,45H01/136/S/16,23,63,26
73.13,24.94,45H01/137/S/16,17,47,22
73.15,24.94,45H01/138/S/16,14,48,25
73.17,24.94,45H01/139/S/16,19,47,21
73.19,24.94,45H01/140/S/16,33,82,13
73.21,24.94,45H01/141/S/16,40,69,19
73.23,24.94,45H01/142/S/16,55,68,25
73.25,24.94,45H01/143/S/16,58,85,15
73.01,24.96,45H01/144/S/16,16,51,22
73.03,24.96,45H01/145/S/16,15,30,16
73.05,24.96,45H01/146/S/16,18,40,22
73.07,24.96,45H01/147/S/16,19,57,25
73.09,24.96,45H01/148/S/16,15,47,18
73.11,24.96,45H01/149/S/16,18,50,28
73.13,24.96,45H01/150/S/16,25,47,23
73.15,24.96,45H01/151/S/16,25,67,23
73.17,24.96,45H01/152/S/16,22,65,18
73.19,24.96,45H01/153/S/16,30,60,32
73.21,24.96,45H01/154/S/16,32,62,10
73.23,24.96,45H01/155/S/16,40,66,21
73.25,24.96,45H01/156/S/16,44,81,26
73.01,24.98,45H01/157/S/16,18,46,15
73.03,24.98,45H01/158/S/16,17,49,16
73.05,24.98,45H01/159/S/16,15,43,16
73.07,24.98,45H01/160/S/16,17,39,17
73.09,24.98,45H01/161/S/16,26,71,23
73.11,24.98,45H01/162/S/16,27,57,19
73.13,24.98,45H01/163/S/16,15,53,19
73.15,24.98,45H01/164/S/16,19,42,17
73.17,24.98,45H01/165/S/16,23,72,24
73.19,24.98,45H01/166/S/16,20,60,12
73.21,24.98,45H01/167/S/16,35,69,19
73.23,24.98,45H01/168/S/16,24,66,33
73.25,24.98,45H01/169/S/16,28,66,23
73.01,25.00,45H01/170/S/16,32,108,12
73.03,25.00,45H01/171/S/16,18,61,16
73.05,25.00,45H01/172/S/16,22,57,12
73.07,25.00,45H01/173/S/16,21,63,20
73.09,25.00,45H01/174/S/16,23,63,11
73.11,25.00,45H01/175/S/16,17,58,17
