Longitude,Latitude,Sample No,Cu,Zn,Pb
73.11,24.46,45H3/149/S/14,25.0,76.0,17.0
73.13,24.46,45H3/150/S/14,21.0,75.0,17.0
73.15,24.46,45H3/151/S/14,25.0,74.0,24.0
73.17,24.46,45H3/152/S/14,26.0,78.0,21.0
73.19,24.46,45H3/153/S/14,19.0,61.0,24.0
73.21,24.46,45H3/154/S/14,20.0,73.0,25.0
73.23,24.46,45H3/155/S/14,25.0,72.0,25.0
73.25,24.46,45H3/156/S/14,30.0,82.0,25.0
73.01,24.48,45H3/157/S/14,28.0,72.0,27.0
73.03,24.48,45H3/158/S/14,20.0,78.0,16.0
73.05,24.48,45H3/159/S/14,26.0,76.0,30.0
73.07,24.48,45H3/160/S/14,26.0,86.0,23.0
73.09,24.48,45H3/161/S/14,25.0,75.0,24.0
73.11,24.48,45H3/162/S/14,22.0,78.0,22.0
73.13,24.48,45H3/163/S/14,18.0,82.0,24.0
73.15,24.48,45H3/164/S/14,26.0,72.0,25.0
73.17,24.48,45H3/165/S/14,20.0,55.0,23.0
73.19,24.48,45H3/166/S/14,18.0,68.0,25.0
73.21,24.48,45H3/167/S/14,25.0,86.0,21.0
73.23,24.48,45H3/168/S/14,28.0,64.0,26.0
73.25,24.48,45H3/169/S/14,31.0,67.0,27.0
73.01,24.49,45H3/170/S/14,35.0,88.0,15.0
73.03,24.49,45H3/171/S/14,26.0,67.0,26.0
73.05,24.49,45H3/172/S/14,29.0,81.0,19.0
73.07,24.49,45H3/173/S/14,28.0,72.0,25.0
73.09,24.49,45H3/174/S/14,23.0,75.0,20.0
73.11,24.49,45H3/175/S/14,16.0,73.0,21.0
73.13,24.49,45H3/176/S/14,31.0,82.0,22.0
73.15,24.49,45H3/177/S/14,26.0,60.0,17.0
73.17,24.49,45H3/178/S/14,19.0,60.0,26.0
73.19,24.49,45H3/179/S/14,21.0,64.0,29.0
73.21,24.49,45H3/180/S/14,28.0,71.0,18.0
73.23,24.49,45H3/181/S/14,22.0,67.0,29.0
73.25,24.49,45H3/182/S/14,24.0,69.0,26.0
73.01,24.01,45H04/001/S/14,25,58,20
73.03,24.01,45H04/002/S/14,27,61,26
73.05,24.01,45H04/003/S/14,21,49,25
73.07,24.01,45H04/004/S/14,29,66,23
73.09,24.01,45H04/005/S/14,28,60,26
73.11,24.01,45H04/006/S/14,25,59,20
73.13,24.01,45H04/007/S/14,31,62,21
73.15,24.01,45H04/008/S/14,23,58,22
73.17,24.01,45H04/009/S/14,23,54,17
73.19,24.01,45H04/010/S/14,25,42,17
73.20,24.01,45H04/011/S/14,15,52,17
73.22,24.01,45H04/012/S/14,16,43,19
73.24,24.01,45H04/013/S/14,25,55,23
73.01,24.03,45H04/014/S/14,18,45,18
73.03,24.03,45H04/015/S/15,18,47,17
73.05,24.03,45H04/016/S/15,24,60,22
73.07,24.03,45H04/017/S/15,19,48,12
73.09,24.03,45H04/018/S/14,16,57,18
73.11,24.03,45H04/019/S/15,22,55,19
73.13,24.03,45H04/020/S/15,18,51,11
73.15,24.03,45H04/021/S/14,26,61,21
73.17,24.03,45H04/022/S/14,17,48,18
73.19,24.03,45H04/023/S/14,17,44,14
73.20,24.03,45H04/024/S/15,15,44,17
73.22,24.03,45H04/025/S/15,13,42,13
73.24,24.03,45H04/026/S/14,17,53,19
73.01,24.04,45H04/027/S/15,19,51,20
73.03,24.04,45H04/028/S/15,17,53,26
73.05,24.04,45H04/029/S/15,16,49,18
73.07,24.04,45H04/030/S/15,19,53,20
73.09,24.04,45H04/031/S/15,12,43,19
73.11,24.04,45H04/032/S/15,19,53,19
73.13,24.04,45H04/033/S/14,17,49,28
73.15,24.04,45H04/034/S/14,17,53,28
73.17,24.04,45H04/035/S/14,18,47,28
73.19,24.04,45H04/036/S/15,21,52,13
73.20,24.04,45H04/037/S/14,17,45,20
73.22,24.04,45H04/038/S/14,19,34,15
73.24,24.04,45H04/039/S/15,14,50,16
73.01,24.06,45H04/040/S/15,12,50,26
73.03,24.06,45H04/041/S/15,19,52,22
73.05,24.06,45H04/042/S/15,16,46,15
73.07,24.06,45H04/043/S/15,17,44,15
73.09,24.06,45H04/044/S/15,22,51,18
73.11,24.06,45H04/045/S/15,22,45,21
73.13,24.06,45H04/046/S/15,18,48,21
73.15,24.06,45H04/047/S/15,23,59,29
73.17,24.06,45H04/048/S/15,16,43,22
73.19,24.06,45H04/049/S/14,16,41,19
73.20,24.06,45H04/050/S/14,16,45,22
73.22,24.06,45H04/051/S/14,11,37,17
73.24,24.06,45H04/052/S/15,15,44,16
73.01,24.08,45H04/053/S/15,17,58,28
73.03,24.08,45H04/054/S/15,17,37,12
73.05,24.08,45H04/055/S/15,17,44,14
73.07,24.08,45H04/056/S/15,11,40,25
73.09,24.08,45H04/057/S/15,17,32,17
73.11,24.08,45H04/058/S/15,17,49,25
73.13,24.08,45H04/059/S/15,23,50,19
73.15,24.08,45H04/060/S/15,21,58,23
73.17,24.08,45H04/061/S/15,12,45,23
73.19,24.08,45H04/062/S/14,14,40,17
73.20,24.08,45H04/063/S/14,16,45,20
73.22,24.08,45H04/064/S/14,17,44,17
73.24,24.08,45H04/065/S/14,13,37,18
73.01,24.10,45H04/066/S/15,19,35,18
73.03,24.10,45H04/067/S/14,16,38,16
73.05,24.10,45H04/068/S/15,15,32,20
73.07,24.10,45H04/069/S/15,18,37,15
73.09,24.10,45H04/070/S/15,12,45,21
73.11,24.10,45H04/071/S/14,12,50,31
73.13,24.10,45H04/072/S/14,20,58,30
73.15,24.10,45H04/073/S/14,20,48,22
73.17,24.10,45H04/074/S/15,15,45,27
73.19,24.10,45H04/075/S/14,16,46,22
73.20,24.10,45H04/076/S/14,17,48,22
73.22,24.10,45H04/077/S/14,13,40,20
73.24,24.10,45H04/078/S/14,12,44,16
73.01,24.12,45H04/079/S/14,23,68,26
73.03,24.12,45H04/080/S/14,20,62,24
73.05,24.12,45H04/081/S/14,15,52,27
73.07,24.12,45H04/082/S/14,15,64,24
73.09,24.12,45H04/083/S/15,17,56,17
73.11,24.12,45H04/084/S/14,20,58,35
73.13,24.12,45H04/085/S/14,17,55,28
73.15,24.12,45H04/086/S/14,11,41,23
73.17,24.12,45H04/087/S/14,14,46,20
73.19,24.12,45H04/088/S/14,9,38,21
73.20,24.12,45H04/089/S/14,10,31,20
73.22,24.12,45H04/090/S/14,16,43,19
73.24,24.12,45H04/091/S/15,18,47,14
73.01,24.13,45H04/092/S/14,28,68,22
73.03,24.13,45H04/093/S/14,16,49,27
73.05,24.13,45H04/094/S/14,17,60,29
73.07,24.13,45H04/095/S/14,16,59,22
73.09,24.13,45H04/096/S/15,17,51,33
73.11,24.13,45H04/097/S/15,10,51,32
73.13,24.13,45H04/098/S/15,20,60,33
73.15,24.13,45H04/099/S/15,9,45,21
73.17,24.13,45H04/100/S/14,9,36,23
73.19,24.13,45H04/101/S/14,13,38,26
73.20,24.13,45H04/102/S/14,9,36,21
73.22,24.13,45H04/103/S/14,8,31,20
73.24,24.13,45H04/104/S/15,14,27,11
73.01,24.15,45H04/105/S/15,25,57,19
73.03,24.15,45H04/106/S/15,18,65,19
73.05,24.15,45H04/107/S/15,13,57,15
73.07,24.15,45H04/108/S/15,28,74,19
73.09,24.15,45H04/109/S/15,15,61,9
73.11,24.15,45H04/110/S/15,28,66,23
73.13,24.15,45H04/111/S/15,11,54,25
73.15,24.15,45H04/112/S/15,17,49,18
73.17,24.15,45H04/113/S/15,27,68,19
73.19,24.15,45H04/114/S/15,12,42,19
73.20,24.15,45H04/115/S/15,18,56,21
73.22,24.15,45H04/116/S/15,18,49,16
73.24,24.15,45H04/117/S/15,20,54,17
73.01,24.17,45H04/118/S/15,15,54,20
73.03,24.17,45H04/119/S/15,19,62,21
73.05,24.17,45H04/120/S/15,17,75,25
73.07,24.17,45H04/121/S/15,10,48,17
73.09,24.17,45H04/122/S/15,19,62,22
73.11,24.17,45H04/123/S/15,13,68,22
73.13,24.17,45H04/124/S/15,20,66,24
73.15,24.17,45H04/125/S/15,19,50,18
73.17,24.17,45H04/126/S/15,20,58,19
73.19,24.17,45H04/127/S/15,18,55,19
73.20,24.17,45H04/128/S/15,17,39,21
73.22,24.17,45H04/129/S/15,13,37,16
73.24,24.17,45H04/130/S/15,18,52,19
73.01,24.19,45H04/131/S/15,14,61,22
73.03,24.19,45H04/132/S/15,12,63,17
73.05,24.19,45H04/133/S/15,21,66,26
73.07,24.19,45H04/134/S/15,21,62,29
73.09,24.19,45H04/135/S/15,20,56,27
73.11,24.19,45H04/136/S/15,24,60,27
73.13,24.19,45H04/137/S/15,30,65,21
73.15,24.19,45H04/138/S/15,29,60,21
73.17,24.19,45H04/139/S/15,22,50,26
73.19,24.19,45H04/140/S/15,19,52,22
73.20,24.19,45H04/141/S/15,24,54,29
73.22,24.19,45H04/142/S/15,25,61,28
73.24,24.19,45H04/143/S/15,23,64,25
73.01,24.21,45H04/144/S/15,24,60,28
73.03,24.21,45H04/145/S/15,24,67,33
73.05,24.21,45H04/146/S/15,17,57,27
73.07,24.21,45H04/147/S/15,20,63,30
73.09,24.21,45H04/148/S/15,24,63,29
73.11,24.21,45H04/149/S/15,29,61,29
73.13,24.21,45H04/150/S/15,28,72,24
73.15,24.21,45H04/151/S/15,25,63,27
73.17,24.21,45H04/152/S/15,25,69,23
73.19,24.21,45H04/153/S/15,19,44,24
73.20,24.21,45H04/154/S/15,18,49,25
73.22,24.21,45H04/155/S/15,30,68,23
73.24,24.21,45H04/156/S/15,28,66,27
73.01,24.22,45H04/157/S/15,25,72,31
73.03,24.22,45H04/158/S/15,27,73,27
73.05,24.22,45H04/159/S/15,26,70,25
73.07,24.22,45H04/160/S/15,28,83,24
73.09,24.22,45H04/161/S/15,33,87,19
73.11,24.22,45H04/162/S/15,30,76,26
73.13,24.22,45H04/163/S/15,28,84,24
73.15,24.22,45H04/164/S/15,26,71,25
73.17,24.22,45H04/165/S/15,31,64,26
73.19,24.22,45H04/166/S/15,26,62,24
73.20,24.22,45H04/167/S/15,21,60,21
73.22,24.22,45H04/168/S/15,25,63,26
73.24,24.22,45H04/169/S/15,30,69,24
73.01,24.24,45H04/170/S/15,29,75,25
73.03,24.24,45H04/171/S/15,30,63,23
73.05,24.24,45H04/172/S/15,26,72,24
73.07,24.24,45H04/173/S/15,27,61,22
73.09,24.24,45H04/174/S/15,22,80,21
73.11,24.24,45H04/175/S/15,29,78,22
73.13,24.24,45H04/176/S/15,20,68,22
73.15,24.24,45H04/177/S/15,35,83,25
73.17,24.24,45H04/178/S/15,25,60,24
73.19,24.24,45H04/179/S/15,29,65,26
73.20,24.24,45H04/180/S/15,24,60,24
73.22,24.24,45H04/181/S/15,29,55,24
73.24,24.24,45H04/182/S/15,22,63,18
73.26,24.76,45H5/001/S/16,32,75,29
73.28,24.76,45H5/002/S/16,21,75,37
73.30,24.76,45H5/003/S/16,22,76,46
73.32,24.76,45H5/004/S/16,14,74,58
73.34,24.76,45H5/005/S/16,14,40,35
73.36,24.76,45H5/006/S/16,26,53,28
73.38,24.76,45H5/007/S/16,20,77,37
73.40,24.76,45H5/008/S/16,21,44,28
73.42,24.76,45H5/009/S/16,21,52,35
73.44,24.76,45H5/010/S/16,25,50,30
73.46,24.76,45H5/011/S/16,15,34,25
73.48,24.76,45H5/012/S/16,13,24,33
73.50,24.76,45H5/013/S/16,19,42,24
73.26,24.78,45H5/014/S/16,28,52,22
73.28,24.78,45H5/015/S/16,25,75,34
73.30,24.78,45H5/016/S/16,21,58,36
73.32,24.78,45H5/017/S/16,21,56,38
73.34,24.78,45H5/018/S/16,17,54,35
73.36,24.78,45H5/019/S/16,17,45,33
73.38,24.78,45H5/020/S/16,23,53,26
73.40,24.78,45H5/021/S/16,18,74,52
73.42,24.78,45H5/022/S/16,24,43,44
73.44,24.78,45H5/023/S/16,18,48,47
73.46,24.78,45H5/024/S/16,30,80,44
73.48,24.78,45H5/025/S/16,25,65,44
73.50,24.78,45H5/026/S/16,14,41,29
73.26,24.79,45H5/027/S/16,36,60,22
73.28,24.79,45H5/028/S/16,15,72,34
73.30,24.79,45H5/029/S/16,32,68,26
73.32,24.79,45H5/030/S/16,26,55,41
73.34,24.79,45H5/031/S/16,25,75,25
73.36,24.79,45H5/032/S/16,28,52,28
73.38,24.79,45H5/033/S/16,24,53,27
73.40,24.79,45H5/034/S/16,15,28,25
73.42,24.79,45H5/035/S/16,15,51,39
73.44,24.79,45H5/036/S/16,22,86,45
73.46,24.79,45H5/037/S/16,25,81,45
73.48,24.79,45H5/038/S/16,18,41,31
73.50,24.79,45H5/039/S/16,20,46,38
73.26,24.81,45H5/040/S/16,31,50,20
73.28,24.81,45H5/041/S/16,34,65,23
73.30,24.81,45H5/042/S/16,40,73,28
73.32,24.81,45H5/043/S/16,21,66,30
73.34,24.81,45H5/044/S/16,34,65,30
73.36,24.81,45H5/045/S/16,21,59,31
73.38,24.81,45H5/046/S/16,20,66,35
73.40,24.81,45H5/047/S/16,23,46,32
73.42,24.81,45H5/048/S/16,26,65,34
73.44,24.81,45H5/049/S/16,21,56,25
73.46,24.81,45H5/050/S/16,21,83,41
73.48,24.81,45H5/051/S/16,29,55,29
73.50,24.81,45H5/052/S/16,26,83,50
73.26,24.83,45H5/053/S/16,28,54,19
73.28,24.83,45H5/054/S/16,28,51,23
73.30,24.83,45H5/055/S/16,32,68,23
73.32,24.83,45H5/056/S/16,23,52,34
73.34,24.83,45H5/057/S/16,16,72,52
73.36,24.83,45H5/058/S/16,17,51,38
73.38,24.83,45H5/059/S/16,26,61,41
73.40,24.83,45H5/060/S/16,19,69,48
73.42,24.83,45H5/061/S/16,14,74,41
73.44,24.83,45H5/062/S/16,23,72,45
73.46,24.83,45H5/063/S/16,27,78,42
73.48,24.83,45H5/064/S/16,25,80,37
73.50,24.83,45H5/065/S/16,19,73,45
73.26,24.85,45H5/066/S/16,30,57,20
73.28,24.85,45H5/067/S/16,32,61,21
73.30,24.85,45H5/068/S/16,26,52,17
73.32,24.85,45H5/069/S/16,32,66,25
73.34,24.85,45H5/070/S/16,18,74,42
73.36,24.85,45H5/071/S/16,21,72,40
73.38,24.85,45H5/072/S/16,20,63,20
73.40,24.85,45H5/073/S/16,29,61,29
73.42,24.85,45H5/074/S/16,28,46,24
73.44,24.85,45H5/075/S/16,34,46,29
73.46,24.85,45H5/076/S/16,27,42,26
73.48,24.85,45H5/077/S/16,24,71,29
73.50,24.85,45H5/078/S/16,27,88,36
73.26,24.87,45H5/079/S/16,24,58,19
73.28,24.87,45H5/080/S/16,26,53,24
73.30,24.87,45H5/081/S/16,23,53,19
73.32,24.87,45H5/082/S/16,38,81,13
73.34,24.87,45H5/083/S/16,32,76,23
73.36,24.87,45H5/084/S/16,31,80,38
73.38,24.87,45H5/085/S/16,32,89,42
73.40,24.87,45H5/086/S/16,24,63,40
73.42,24.87,45H5/087/S/16,26,79,41
73.44,24.87,45H5/088/S/16,17,64,52
73.46,24.87,45H5/089/S/16,36,44,37
73.48,24.87,45H5/090/S/16,34,67,26
73.50,24.87,45H5/091/S/16,34,68,19
73.26,24.89,45H5/092/S/16,32,62,14
73.28,24.89,45H5/093/S/16,25,58,25
73.30,24.89,45H5/094/S/16,25,57,26
73.32,24.89,45H5/095/S/16,39,81,16
73.34,24.89,45H5/096/S/16,30,72,20
73.36,24.89,45H5/097/S/16,34,91,48
73.38,24.89,45H5/098/S/16,25,64,43
73.40,24.89,45H5/099/S/16,21,90,37
73.42,24.89,45H5/100/S/16,21,47,30
73.44,24.89,45H5/101/S/16,25,76,37
73.46,24.89,45H5/102/S/16,23,49,26
73.48,24.89,45H5/103/S/16,29,82,33
73.50,24.89,45H5/104/S/16,15,68,36
73.26,24.90,45H5/105/S/16,29,71,22
73.28,24.90,45H5/106/S/16,36,66,24
73.30,24.90,45H5/107/S/16,31,70,19
73.32,24.90,45H5/108/S/16,42,72,18
73.34,24.90,45H5/109/S/16,28,71,24
73.36,24.90,45H5/110/S/16,31,83,33
73.38,24.90,45H5/111/S/16,31,86,34
73.40,24.90,45H5/112/S/16,36,87,42
73.42,24.90,45H5/113/S/16,25,81,39
73.44,24.90,45H5/114/S/16,34,76,24
73.46,24.90,45H5/115/S/16,30,56,25
73.48,24.90,45H5/116/S/16,45,67,23
73.50,24.90,45H5/117/S/16,28,74,21
73.26,24.92,45H5/118/S/16,38,65,12
73.28,24.92,45H5/119/S/16,44,77,21
73.30,24.92,45H5/120/S/16,34,83,11
73.32,24.92,45H5/121/S/16,34,66,22
73.34,24.92,45H5/122/S/16,37,67,28
73.36,24.92,45H5/123/S/16,45,94,27
73.38,24.92,45H5/124/S/16,24,77,29
73.40,24.92,45H5/125/S/16,31,78,43
73.42,24.92,45H5/126/S/16,26,92,33
73.44,24.92,45H5/127/S/16,21,76,33
73.46,24.92,45H5/128/S/16,34,43,34
73.48,24.92,45H5/129/S/16,21,84,34
73.50,24.92,45H5/130/S/16,29,71,22
73.26,24.94,45H5/131/S/16,41,65,18
73.28,24.94,45H5/132/S/16,31,85,30
73.30,24.94,45H5/133/S/16,29,78,13
73.32,24.94,45H5/134/S/16,34,74,24
73.34,24.94,45H5/135/S/16,21,66,21
73.36,24.94,45H5/136/S/16,38,88,25
73.38,24.94,45H5/137/S/16,23,79,23
73.40,24.94,45H5/138/S/16,19,79,38
73.42,24.94,45H5/139/S/16,31,75,35
73.44,24.94,45H5/140/S/16,29,84,45
73.46,24.94,45H5/141/S/16,32,53,35
73.48,24.94,45H5/142/S/16,47,75,16
73.50,24.94,45H5/143/S/16,26,61,24
73.26,24.96,45H5/144/S/16,22,46,31
73.28,24.96,45H5/145/S/16,32,52,27
73.30,24.96,45H5/146/S/16,32,105,14
73.32,24.96,45H5/147/S/16,28,72,24
73.34,24.96,45H5/148/S/16,35,78,24
73.36,24.96,45H5/149/S/16,46,87,23
73.38,24.96,45H5/150/S/16,35,75,22
73.40,24.96,45H5/151/S/16,30,99,18
73.42,24.96,45H5/152/S/16,20,62,38
73.44,24.96,45H5/153/S/16,35,65,31
73.46,24.96,45H5/154/S/16,34,66,22
73.48,24.96,45H5/155/S/16,27,59,23
73.50,24.96,45H5/156/S/16,19,76,33
73.26,24.98,45H5/157/S/16,38,66,16
73.28,24.98,45H5/158/S/16,37,104,11
73.30,24.98,45H5/159/S/16,23,115,12
73.32,24.98,45H5/160/S/16,23,74,13
73.34,24.98,45H5/161/S/16,25,79,15
73.36,24.98,45H5/162/S/16,35,72,29
73.38,24.98,45H5/163/S/16,32,81,35
73.40,24.98,45H5/164/S/16,19,66,21
73.42,24.98,45H5/165/S/16,20,57,36
73.44,24.98,45H5/166/S/16,28,91,30
73.46,24.98,45H5/167/S/16,22,78,32
73.48,24.98,45H5/168/S/16,15,68,35
73.50,24.98,45H5/169/S/16,25,45,28
73.26,25.00,45H5/170/S/16,34,71,13
73.28,25.00,45H5/171/S/16,32,97,12
73.30,25.00,45H5/172/S/16,27,103,12
73.32,25.00,45H5/173/S/16,32,92,11
73.34,25.00,45H5/174/S/16,22,82,19
73.36,25.00,45H5/175/S/16,26,77,22
73.38,25.00,45H5/176/S/16,23,58,23
73.40,25.00,45H5/177/S/16,39,69,14
73.42,25.00,45H5/178/S/16,31,64,33
73.44,25.00,45H5/179/S/16,37,98,34
73.46,25.00,45H5/180/S/16,38,70,23
73.48,25.00,45H5/181/S/16,25,53,19
73.50,25.00,45H5/182/S/16,13,68,34
73.25,24.51,45H06/001/SS/15-16,32,75,31
73.27,24.51,45H06/002/SS/15-16,33,85,33
73.29,24.51,45H06/003/SS/15-16,29,77,29
73.31,24.51,45H06/004/SS/15-16,28,80,27
73.33,24.51, 45H06/005/SS/15-16,17,56,25
73.35,24.51,45H06/006/SS/15-16,14,57,20
73.37,24.51, 45H06/007/SS/15-16,22,66,27
73.39,24.51,45H06/008/SS/15-16,33,102,22
73.41,24.51,45H06/009/SS/15-16,43,101,16
73.43,24.51,45H06/010/SS/15-16,42,76,29
73.45,24.51,45H06/011/SS/15-16,38,89,27
73.47,24.51,45H06/12/SS/15-16,59,93,28
73.49,24.51,45H06/013/SS/15-16,44,93,43
73.25,24.52,45H06/014/SS/15-16,23,75,29
73.27,24.52,45H06/015/SS/15-16,21,67,31
73.29,24.52,45H06/016/SS/15-16,32,88,33
73.31,24.52,45H06/017/SS/15-16,18,69,23
73.33,24.52,45H06/018/SS/15-16,14,65,24
73.35,24.52,45H06/019/SS/15-16,19,82,25
73.37,24.52,45H06/020/SS/15-16,21,74,20
73.39,24.52,45H06/021/SS/15-16,38,99,25
73.41,24.52,45H06/022/SS/15-16,39,118,21
73.43,24.52,45H06/023/SS/15-17,33,104,27
73.45,24.52,45H06/024/SS/15-16,29,93,35
73.47,24.52,45H06/025/SS/15-16,39,77,20
73.49,24.52,45H06/26/SS/15-16,46,87,39
73.25,24.54,45H06/027/SS/15-16,23,79,26
73.27,24.54,45H06/028/SS/15-17,28,76,28
73.29,24.54,45H06/029/SS/15-16,34,73,32
73.31,24.54,45H06/030/SS/15-16,28,78,38
73.33,24.54,45H06/031/SS/15-16,14,65,23
73.35,24.54,45H06/032/SS/15-16,28,71,31
73.37,24.54,45H06/033/SS/15-16,25,71,35
73.39,24.54,  45H06/034/SS/15-16,23,79,20
73.41,24.54,45H06/035/SS/15-16,31,77,36
73.43,24.54,45H06/036/SS/15-16,31,84,26
73.45,24.54, 45H06/037/SS/15-16,34,89,24
73.47,24.54,45H06/038/SS/15-16,43,86,26
73.49,24.54,45H06/039/SS/15-16,50,81,26
73.25,24.56,45H06/40/SS/15-16,32,88,33
73.27,24.56,45H06/41/SS/15-16,29,75,29
73.29,24.56,45H06/042/SS/15-16,2,21,15
73.31,24.56,45H06/043/SS/15-16,23,72,36
73.33,24.56,45H06/044/SS/15-16,19,83,29
73.35,24.56,45H06/045/SS/15-16,12,65,29
73.37,24.56,45H06/46/SS/15-16,21,72,30
73.39,24.56,45H06/047/SS/15-16,16,70,27
73.41,24.56, 45H06/048/SS/15-16,29,91,15
73.43,24.56,45H06/049/SS/15-16,44,102,26
73.45,24.56,45H06/050/SS/15-16,29,83,22
73.47,24.56,45H06/051/SS/15-16,45,96,43
73.49,24.56,45H06/052/SS/15-16,38,88,25
73.25,24.58,45H06/053/SS/15-16,29,87,35
73.27,24.58,45H06/054/SS/15-16,26,76,37
73.29,24.58,45H06/055/SS/15-16,27,73,36
73.31,24.58,45H06/056/SS/15-16,27,61,36
73.33,24.58,45H06/057/SS/15-16,14,67,23
73.35,24.58,45H06/058/SS/15-16,19,71,33
73.37,24.58,45H06/059/SS/15-16,19,61,30
73.39,24.58,  45H06/060/SS/15-16,19,69,25
73.41,24.58,45H06/061/SS/15-16,22,77,24
73.43,24.58,45H06/62/SS/15-16,40,93,29
73.45,24.58,45H06/063/SS/15-16,41,89,29
73.47,24.58,45H06/064/SS/15-16,43,95,27
73.49,24.58,45H06/065/SS/15-16,38,85,22
73.25,24.6,45H06/066/SS/15-16,28,86,31
73.27,24.6,45H06/067/SS/15-16,14,65,20
73.29,24.6,45H06/068/SS/15-16,39,89,26
73.31,24.6,45H06/069/SS/15-17,28,72,23
73.33,24.6,45H06/070/SS/15-16,16,63,25
73.35,24.6,45H06/071/SS/15-16,14,73,32
73.37,24.6,45H06/072/SS/15-16,15,54,23
73.39,24.6,45H06/073/SS/15-16,24,78,24
73.41,24.6,45H06/074/SS/15-16,38,100,25
73.43,24.6,45H06/075/SS/15-16,47,105,23
73.45,24.6,45H06/076/SS/15-16,46,99,23
73.47,24.6,45H06/077/SS/15-16,36,89,33
73.49,24.6,45H06/078/SS/15-16,43,85,27
73.25,24.618,45H06/079/SS/15-16,17,65,30
73.27,24.618,45H06/080/SS/15-16,19,76,32
73.29,24.618,45H06/081/SS/15-16,23,70,37
73.31,24.618,45H06/082/SS/15-16,31,84,39
73.33,24.618,45H06/083/SS/15-16,15,63,25
73.35,24.618,45H06/084/SS/15-16,13,76,39
73.37,24.618, 45H06/085/SS/15-16,32,78,28
73.39,24.618,45H06/086/SS/15-16,23,76,24
73.41,24.618, 45H06/087/SS/15-16,18,66,22
73.43,24.618,45H06/088/SS/15-16,45,95,24
73.45,24.618,45H06/089/SS/15-16,66,109,32
73.47,24.618,45H06/90/SS/15-16,51,112,38
73.49,24.618,45H06/091/SS/15-16,53,101,22
73.25,24.636,45H06/092/SS/15-16,18,78,32
73.27,24.636, 45H06/093/SS/15-16,17,65,28
73.29,24.636, 45H06/094/SS/15-16,21,69,34
73.31,24.636,45H06/095/SS/15-16,29,80,32
73.33,24.636,45H06/096/SS/15-16,18,66,33
73.35,24.636,45H06/097/SS/15-16,17,66,37
73.37,24.636,45H06/098/SS/15-16,14,68,35
73.39,24.636,45H06/099/SS/15-16,17,73,28
73.41,24.636, 45H06/100/SS/15-16,16,61,28
73.43,24.636, 45H06/101/SS/15-16,32,95,30
73.45,24.636,45H06/102/SS/15-16,48,103,19
73.47,24.636,45H06/103/SS/15-16,41,108,18
73.49,24.636,45H06/104/SS/15-16,34,114,23
73.25,24.65,45H06/105/SS/15-16,26,82,36
73.27,24.65,45H06/106/SS/15-16,32,75,30
73.29,24.65,45H06/107/SS/15-16,17,80,24
73.31,24.65,45H06/108/SS/15-16,32,80,43
73.33,24.65, 45H06/109/SS/15-16,41,88,34
73.35,24.65, 45H06/110/SS/15-16,15,72,33
73.37,24.65,45H06/111/SS/15-16,20,65,68
73.39,24.65,  45H06/112/SS/15-16,17,67,32
73.41,24.65,45H06/113/SS/15-16,16,68,24
73.43,24.65,45H06/114/SS/15-16,19,66,26
73.45,24.65,45H06/115/SS/15-16,41,88,19
73.47,24.65,45H06/116/SS/15-16,50,96,35
73.49,24.65,45H06/117/SS/15-16,42,95,13
73.25,24.67,45H06/118/SS/15-16,34,89,31
73.27,24.67, 45H06/119/SS/15-16,17,72,29
73.29,24.67,45H06/120/SS/15-16,27,77,32
73.31,24.67,45H06/121/SS/15-16,20,80,35
73.33,24.67, 45H06/122/SS/15-16,22,84,35
73.35,24.67, 45H06/123/SS/15-16,19,66,39
73.37,24.67,45H06/124/SS/15-16,15,75,32
73.39,24.67,45H06/125/SS/15-16,24,86,44
73.41,24.67,  45H06/126/SS/15-16,15,70,38
73.43,24.67,45H06/127/SS/15-16,17,61,23
73.45,24.67, 45H06/128/SS/15-16,52,98,21
73.47,24.67,45H06/129/SS/15-16,33,83,27
73.49,24.67,45H06/130/SS/15-16,46,85,15
73.25,24.69,45H06/131/SS/15-16,20,87,27
73.27,24.69,45H06/132/SS/15-16,29,87,29
73.29,24.69, 45H06/133/SS/15-16,21,79,34
73.31,24.69,45H06/134/SS/15-16,1,14,10
73.33,24.69,  45H06/135/SS/15-16,16,70,29
73.35,24.69, 45H06/136/SS/15-16,24,76,27
73.37,24.69,45H06/137/SS/15-16,19,60,42
73.39,24.69,45H06/138/SS/15-16,28,69,39
73.41,24.69, 45H06/139/SS/15-16,17,79,26
73.43,24.69,45H06/140/SS/15-16,13,51,29
73.45,24.69,45H06/141/SS/15-16,26,92,33
73.47,24.69, 45H06/142/SS/15-16,28,104,26
73.49,24.69,45H06/143/SS/15-16,49,98,24
73.25,24.7,45H06/144/SS/15-17,38,83,24
73.27,24.7,45H06/145/SS/15-16,20,79,24
73.29,24.7,45H06/146/SS/15-16,22,70,35
73.31,24.7,45H06/147/SS/15-16,22,84,29
73.33,24.7,45H06/148/SS/15-16,37,78,36
73.35,24.7, 45H06/149/SS/15-16,28,78,23
73.37,24.7, 45H06/150/SS/15-16,22,71,44
73.39,24.7, 45H06/151/SS/15-16,23,71,39
73.41,24.7,45H06/152/SS/15-16,20,64,31
73.43,24.7,45H06/153/SS/15-16,28,77,41
73.45,24.7, 45H06/154/SS/15-16,26,74,31
73.47,24.7,45H06/155/SS/15-16,55,107,21
