Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2016S008469    ,7,Horta-Guinardó,40,Montbau,113608,Escultura,0010 0010,Diumenge,Dg,Laboral,2016,11,Novembre,6,18,Tarda,No és causa del  vianant,0,2,0,2,1,428306.96,4587150.04,2.140796,41.430872
2016S005127    ,7,Horta-Guinardó,39,Sant Genís dels Agudells,148409,Sant Cugat,0200 0200,Dijous,Dj,Laboral,2016,6,Juny,30,16,Tarda,No és causa del  vianant,0,1,0,1,2,427379.16,4587097.56,2.129709,41.430312
2016S010128    ,7,Horta-Guinardó,39,Sant Genís dels Agudells,326008,Sinaí,0005 0005,Dissabte,Ds,Laboral,2016,12,Desembre,31,5,Nit,No és causa del  vianant,0,2,0,2,3,428106.71,4586459.95,2.138485,41.424631
2016S006409    ,7,Horta-Guinardó,39,Sant Genís dels Agudells,148409,Sant Cugat,0331 0331,Dissabte,Ds,Laboral,2016,8,Agost,20,20,Tarda,No és causa del  vianant,0,1,0,1,2,427504.2,4587232.61,2.131189,41.431539
2016S009050    ,7,Horta-Guinardó,40,Montbau,352507,Vall d'Hebron,0107 0107,Divendres,Dv,Laboral,2016,11,Novembre,25,7,Matí,No és causa del  vianant,0,1,0,1,2,428431.36,4586574.43,2.14236,41.425696
2016S009590    ,7,Horta-Guinardó,40,Montbau,701267,Dalt (Besòs),0005S0000,Dimecres,Dc,Laboral,2016,12,Desembre,14,12,Matí,No és causa del  vianant,0,2,0,2,2,428661.37,4587177.59,2.145042,41.431147
2016S004028    ,7,Horta-Guinardó,40,Montbau,701678,Arturo Mundet,0000 0000,Dimecres,Dc,Laboral,2016,5,Maig,18,19,Tarda,No és causa del  vianant,0,0,1,1,2,428793.34,4587907.42,2.146535,41.437734
2016S008338    ,7,Horta-Guinardó,40,Montbau,148409,Sant Cugat,450000,Dimarts,Dm,Laboral,2016,11,Novembre,1,18,Tarda,No és causa del  vianant,0,0,1,1,1,427313.07,4587269.77,2.128898,41.431855
2016S009152    ,7,Horta-Guinardó,41,la Vall d'Hebron,352507,Vall d'Hebron,0210 0210,Dilluns,Dl,Laboral,2016,11,Novembre,28,20,Tarda,No és causa del  vianant,0,2,0,2,2,428733.62,4587225.27,2.145898,41.431586
2016S009282    ,7,Horta-Guinardó,41,la Vall d'Hebron,700824,Basses d'Horta,0001 0001,Divendres,Dv,Laboral,2016,12,Desembre,2,1,Nit,No és causa del  vianant,0,0,0,0,2,428630.19,4586546.85,2.144745,41.425461
2016S008850    ,7,Horta-Guinardó,41,la Vall d'Hebron,701267,Dalt (Besòs),5,Dijous,Dj,Laboral,2016,11,Novembre,17,17,Tarda,No és causa del  vianant,0,1,0,1,1,428571.63,4586836.81,2.144005,41.428068
2016S006017    ,7,Horta-Guinardó,41,la Vall d'Hebron,701268,Dalt (Llobregat),0005S0000,Dilluns,Dl,Laboral,2016,8,Agost,1,12,Matí,No és causa del  vianant,0,1,0,1,2,428446.73,4586497.93,2.142549,41.425004
2016S006913    ,7,Horta-Guinardó,41,la Vall d'Hebron,701268,Dalt (Llobregat),1130000,Dilluns,Dl,Laboral,2016,9,Setembre,12,14,Tarda,No és causa del  vianant,0,1,0,1,3,428665.97,4587115.35,2.145097,41.430589
2016S001096    ,7,Horta-Guinardó,41,la Vall d'Hebron,701268,Dalt (Llobregat),1130000,Dijous,Dj,Laboral,2016,2,Febrer,11,11,Matí,No és causa del  vianant,0,1,0,1,1,428665.97,4587115.35,2.145097,41.430589
2016S004521    ,7,Horta-Guinardó,40,Montbau,701267,Dalt (Besòs),1160000,Divendres,Dv,Laboral,2016,6,Juny,10,8,Matí,No és causa del  vianant,0,1,0,1,2,428744.95,4587406.84,2.146008,41.433217
2016S003537    ,7,Horta-Guinardó,42,la Clota,700921,Clota,9999 9999,Diumenge,Dg,Laboral,2016,5,Maig,8,23,Nit,No és causa del  vianant,0,1,0,1,3,429096.98,4586612.49,2.150314,41.426097
2016S004213    ,7,Horta-Guinardó,36,la Font d'en Fargues,307309,Sant Martí de Porres,0005 0005,Dimecres,Dc,Laboral,2016,6,Juny,1,8,Matí,No és causa del  vianant,0,1,0,1,2,430799.12,4586552.98,2.1707,41.425705
2016S009234    ,7,Horta-Guinardó,36,la Font d'en Fargues,121005,Frederic Rahola,0001 0001,Dimecres,Dc,Laboral,2016,11,Novembre,30,22,Nit,No és causa del  vianant,0,0,0,0,2,430329.32,4586764.79,2.165051,41.427574
2016S007768    ,7,Horta-Guinardó,42,la Clota,249406,Alarcón,0038 0038,Dimecres,Dc,Laboral,2016,10,Octubre,12,23,Nit,No és causa del  vianant,0,0,0,0,1,429242.22,4586713.92,2.152049,41.42702
2016S004021    ,7,Horta-Guinardó,36,la Font d'en Fargues,136002,Font d'en Fargas,0052 0052,Dimecres,Dc,Laboral,2016,5,Maig,25,20,Tarda,No és causa del  vianant,0,1,0,1,2,430338.09,4586316.52,2.16521,41.42354
2016S003082    ,7,Horta-Guinardó,36,la Font d'en Fargues,78303,Ciències,0043 0043,Dissabte,Ds,Laboral,2016,4,Abril,23,8,Matí,No és causa del  vianant,0,1,0,1,2,429781.12,4586529.19,2.15852,41.42541
2016S007458    ,7,Horta-Guinardó,36,la Font d'en Fargues,248800,Pedrell,0203 0203,Dissabte,Ds,Laboral,2016,10,Octubre,1,4,Nit,No és causa del  vianant,0,1,0,1,1,429801.99,4586273.25,2.158789,41.423106
2016S008786    ,7,Horta-Guinardó,43,Horta,157308,Horta a Cerdanyola,1160000,Dimarts,Dm,Laboral,2016,11,Novembre,15,22,Nit,No és causa del  vianant,0,1,0,1,2,429350.33,4587796.83,2.153215,41.436783
2016S002776    ,7,Horta-Guinardó,43,Horta,157308,Horta a Cerdanyola,0071 0071,Dimarts,Dm,Laboral,2016,4,Abril,12,20,Tarda,No és causa del  vianant,0,1,0,1,2,429139.81,4588339.57,2.150626,41.441655
2016S002957    ,7,Horta-Guinardó,36,la Font d'en Fargues,67205,Carmel,0001 0011,Dimarts,Dm,Laboral,2016,4,Abril,19,8,Matí,Altres,0,1,0,1,1,429920.26,4586607.78,2.160175,41.426124
2016S002388    ,7,Horta-Guinardó,43,Horta,157104,Horta,0135 0135,Dimarts,Dm,Laboral,2016,3,Març,29,17,Tarda,Creuar per fora pas de vianants,0,1,0,1,1,429731.09,4587293.28,2.157833,41.432286
2016S005590    ,7,Horta-Guinardó,43,Horta,352507,Vall d'Hebron,0272U0272U,Divendres,Dv,Laboral,2016,7,Juliol,15,19,Tarda,No és causa del  vianant,0,1,0,1,2,429356.95,4587925.8,2.153271,41.437946
2016S004126    ,7,Horta-Guinardó,43,Horta,352507,Vall d'Hebron,0280 0280,Diumenge,Dg,Laboral,2016,5,Maig,29,18,Tarda,No és causa del  vianant,0,1,0,1,2,429414.75,4587912.96,2.153967,41.437834
2016S007559    ,7,Horta-Guinardó,43,Horta,352507,Vall d'Hebron,0280B0280B,Dimecres,Dc,Laboral,2016,10,Octubre,5,15,Tarda,No és causa del  vianant,0,4,0,4,3,429440.7,4587936,2.154275,41.438052
2016S001999    ,7,Horta-Guinardó,43,Horta,701267,Dalt (Besòs),1250000,Diumenge,Dg,Laboral,2016,3,Març,13,2,Nit,No és causa del  vianant,0,0,0,0,1,429398.22,4587988.75,2.153767,41.438517
2016S007048    ,7,Horta-Guinardó,43,Horta,166808,Jerez,0011 0011,Divendres,Dv,Laboral,2016,9,Setembre,16,13,Matí,No és causa del  vianant,0,1,0,1,2,429373.23,4587445.43,2.153531,41.433624
2016S004149    ,7,Horta-Guinardó,43,Horta,700651,Estatut de Catalunya,0002 0002,Dilluns,Dl,Laboral,2016,5,Maig,30,13,Matí,No és causa del  vianant,0,1,0,1,2,429532.24,4587130.92,2.155471,41.430801
2016S000420    ,7,Horta-Guinardó,43,Horta,122303,Feliu i Codina,0051 0051,Dilluns,Dl,Laboral,2016,1,Gener,18,14,Tarda,No és causa del  vianant,0,1,0,1,2,430098.82,4587612.35,2.162188,41.435192
2016S009156    ,7,Horta-Guinardó,43,Horta,157104,Horta,0113 0113,Dimarts,Dm,Laboral,2016,11,Novembre,29,7,Matí,No és causa del  vianant,0,1,0,1,3,429785.3,4587271.78,2.158482,41.432093
2016S002149    ,7,Horta-Guinardó,43,Horta,235503,Porto,0014 0014,Divendres,Dv,Laboral,2016,3,Març,18,8,Matí,No és causa del  vianant,0,2,0,2,1,429650.97,4587035.58,2.156894,41.429956
2016S007857    ,7,Horta-Guinardó,43,Horta,235503,Porto,0014 0014,Dissabte,Ds,Laboral,2016,10,Octubre,15,20,Tarda,No és causa del  vianant,0,2,0,2,1,429650.97,4587035.58,2.156894,41.429956
2016S003789    ,7,Horta-Guinardó,43,Horta,185700,Llobregós,0072 0072,Dimarts,Dm,Laboral,2016,5,Maig,17,23,Nit,No és causa del  vianant,0,1,0,1,1,429790.47,4586573.07,2.158623,41.425807
2016S007304    ,7,Horta-Guinardó,34,Can Baró,365702,Mare de Déu de Montserrat,0069 0069,Diumenge,Dg,Laboral,2016,9,Setembre,25,20,Tarda,No és causa del  vianant,0,1,0,1,2,430294.43,4585350.55,2.164795,41.414836
2016S000429    ,7,Horta-Guinardó,43,Horta,69109,Cartellà,0171B0171B,Dilluns,Dl,Laboral,2016,1,Gener,18,18,Tarda,No és causa del  vianant,0,1,0,1,2,430357.96,4587034.11,2.165355,41.430008
2016S009372    ,7,Horta-Guinardó,34,Can Baró,170102,Josep Yxart,0006 0006,Dilluns,Dl,Laboral,2016,12,Desembre,5,15,Tarda,No és causa del  vianant,0,1,0,1,2,429954.36,4585354.88,2.160727,41.414842
2016S009456    ,7,Horta-Guinardó,34,Can Baró,312207,Sanllehy,0006 0006,Divendres,Dv,Laboral,2016,12,Desembre,9,6,Matí,No és causa del  vianant,0,1,0,1,2,429989,4585280.69,2.161154,41.414179
2016S004407    ,7,Horta-Guinardó,34,Can Baró,351107,Vallseca,0045 0045,Dilluns,Dl,Laboral,2016,6,Juny,6,23,Nit,No és causa del  vianant,0,0,0,0,4,430135.52,4585405.41,2.162886,41.415317
